C:\Users\User\Desktop\example.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	P	 1	 1	SyprO	  1	     3061	25.1
 1	P	 1	 1	SyprO	  1	     3060	25.1
 1	P	 1	 1	SyprO	  1	     3071	25.1
 1	P	 1	 1	SyprO	  2	     3115	26.1
 1	P	 1	 1	SyprO	  2	     3122	26.0
 1	P	 1	 1	SyprO	  2	     3117	26.0
 1	P	 1	 1	SyprO	  3	     3111	27.1
 1	P	 1	 1	SyprO	  3	     3121	27.1
 1	P	 1	 1	SyprO	  3	     3118	27.1
 1	P	 1	 1	SyprO	  4	     3120	28.1
 1	P	 1	 1	SyprO	  4	     3115	28.1
 1	P	 1	 1	SyprO	  4	     3118	28.1
 1	P	 1	 1	SyprO	  5	     3115	29.1
 1	P	 1	 1	SyprO	  5	     3099	29.1
 1	P	 1	 1	SyprO	  5	     3116	29.1
 1	P	 1	 1	SyprO	  6	     3099	30.1
 1	P	 1	 1	SyprO	  6	     3095	30.1
 1	P	 1	 1	SyprO	  6	     3096	30.1
 1	P	 1	 1	SyprO	  7	     3087	31.1
 1	P	 1	 1	SyprO	  7	     3086	31.1
 1	P	 1	 1	SyprO	  7	     3083	31.1
 1	P	 1	 1	SyprO	  8	     3077	32.1
 1	P	 1	 1	SyprO	  8	     3075	32.1
 1	P	 1	 1	SyprO	  8	     3091	32.1
 1	P	 1	 1	SyprO	  9	     3059	33.0
 1	P	 1	 1	SyprO	  9	     3075	33.0
 1	P	 1	 1	SyprO	  9	     3080	33.0
 1	P	 1	 1	SyprO	 10	     3061	34.0
 1	P	 1	 1	SyprO	 10	     3059	34.0
 1	P	 1	 1	SyprO	 10	     3059	34.0
 1	P	 1	 1	SyprO	 11	     3051	35.0
 1	P	 1	 1	SyprO	 11	     3040	35.0
 1	P	 1	 1	SyprO	 11	     3045	35.0
 1	P	 1	 1	SyprO	 12	     3037	36.0
 1	P	 1	 1	SyprO	 12	     3024	36.0
 1	P	 1	 1	SyprO	 12	     3025	36.0
 1	P	 1	 1	SyprO	 13	     3018	37.0
 1	P	 1	 1	SyprO	 13	     3020	37.0
 1	P	 1	 1	SyprO	 13	     3020	37.0
 1	P	 1	 1	SyprO	 14	     3010	38.0
 1	P	 1	 1	SyprO	 14	     3003	37.8
 1	P	 1	 1	SyprO	 14	     3002	38.0
 1	P	 1	 1	SyprO	 15	     2996	39.0
 1	P	 1	 1	SyprO	 15	     2998	38.8
 1	P	 1	 1	SyprO	 15	     2995	38.8
 1	P	 1	 1	SyprO	 16	     2974	39.8
 1	P	 1	 1	SyprO	 16	     2978	39.8
 1	P	 1	 1	SyprO	 16	     2972	39.8
 1	P	 1	 1	SyprO	 17	     2969	40.8
 1	P	 1	 1	SyprO	 17	     2967	41.0
 1	P	 1	 1	SyprO	 17	     2968	40.8
 1	P	 1	 1	SyprO	 18	     2949	41.8
 1	P	 1	 1	SyprO	 18	     2944	41.8
 1	P	 1	 1	SyprO	 18	     2946	41.8
 1	P	 1	 1	SyprO	 19	     2942	42.8
 1	P	 1	 1	SyprO	 19	     2931	42.8
 1	P	 1	 1	SyprO	 19	     2942	42.7
 1	P	 1	 1	SyprO	 20	     2932	43.8
 1	P	 1	 1	SyprO	 20	     2919	43.8
 1	P	 1	 1	SyprO	 20	     2925	43.8
 1	P	 1	 1	SyprO	 21	     2921	44.7
 1	P	 1	 1	SyprO	 21	     2915	44.7
 1	P	 1	 1	SyprO	 21	     2912	44.7
 1	P	 1	 1	SyprO	 22	     2908	45.8
 1	P	 1	 1	SyprO	 22	     2907	45.7
 1	P	 1	 1	SyprO	 22	     2898	45.7
 1	P	 1	 1	SyprO	 23	     2884	46.7
 1	P	 1	 1	SyprO	 23	     2880	46.7
 1	P	 1	 1	SyprO	 23	     2886	46.8
 1	P	 1	 1	SyprO	 24	     2874	47.8
 1	P	 1	 1	SyprO	 24	     2872	47.7
 1	P	 1	 1	SyprO	 24	     2866	47.7
 1	P	 1	 1	SyprO	 25	     2860	48.7
 1	P	 1	 1	SyprO	 25	     2868	48.7
 1	P	 1	 1	SyprO	 25	     2862	48.7
 1	P	 1	 1	SyprO	 26	     2844	49.8
 1	P	 1	 1	SyprO	 26	     2835	49.7
 1	P	 1	 1	SyprO	 26	     2833	49.7
 1	P	 1	 1	SyprO	 27	     2833	50.7
 1	P	 1	 1	SyprO	 27	     2818	50.7
 1	P	 1	 1	SyprO	 27	     2815	50.7
 1	P	 1	 1	SyprO	 28	     2801	51.7
 1	P	 1	 1	SyprO	 28	     2794	51.7
 1	P	 1	 1	SyprO	 28	     2806	51.7
 1	P	 1	 1	SyprO	 29	     2793	52.7
 1	P	 1	 1	SyprO	 29	     2780	52.7
 1	P	 1	 1	SyprO	 29	     2797	52.7
 1	P	 1	 1	SyprO	 30	     2776	53.8
 1	P	 1	 1	SyprO	 30	     2777	53.7
 1	P	 1	 1	SyprO	 30	     2777	53.7
 1	P	 1	 1	SyprO	 31	     2751	54.8
 1	P	 1	 1	SyprO	 31	     2758	54.7
 1	P	 1	 1	SyprO	 31	     2750	54.7
 1	P	 1	 1	SyprO	 32	     2753	55.7
 1	P	 1	 1	SyprO	 32	     2741	55.7
 1	P	 1	 1	SyprO	 32	     2748	55.7
 1	P	 1	 1	SyprO	 33	     2736	56.7
 1	P	 1	 1	SyprO	 33	     2732	56.7
 1	P	 1	 1	SyprO	 33	     2735	56.7
 1	P	 1	 1	SyprO	 34	     2714	57.7
 1	P	 1	 1	SyprO	 34	     2721	57.7
 1	P	 1	 1	SyprO	 34	     2717	57.7
 1	P	 1	 1	SyprO	 35	     2741	58.7
 1	P	 1	 1	SyprO	 35	     2734	58.7
 1	P	 1	 1	SyprO	 35	     2734	58.7
 1	P	 1	 1	SyprO	 36	     2720	59.8
 1	P	 1	 1	SyprO	 36	     2715	59.7
 1	P	 1	 1	SyprO	 36	     2720	59.7
 1	P	 1	 1	SyprO	 37	     2709	60.7
 1	P	 1	 1	SyprO	 37	     2704	60.7
 1	P	 1	 1	SyprO	 37	     2707	60.7
 1	P	 1	 1	SyprO	 38	     2695	61.8
 1	P	 1	 1	SyprO	 38	     2696	61.7
 1	P	 1	 1	SyprO	 38	     2691	61.6
 1	P	 1	 1	SyprO	 39	     2703	62.8
 1	P	 1	 1	SyprO	 39	     2707	62.7
 1	P	 1	 1	SyprO	 39	     2697	62.7
 1	P	 1	 1	SyprO	 40	     2709	63.8
 1	P	 1	 1	SyprO	 40	     2696	63.7
 1	P	 1	 1	SyprO	 40	     2701	63.7
 1	P	 1	 1	SyprO	 41	     2703	64.9
 1	P	 1	 1	SyprO	 41	     2700	64.7
 1	P	 1	 1	SyprO	 41	     2700	64.7
 1	P	 1	 1	SyprO	 42	     2724	65.9
 1	P	 1	 1	SyprO	 42	     2727	65.7
 1	P	 1	 1	SyprO	 42	     2717	65.5
