Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
25	3064	3165	2663	3066	2498	2972	2593	2606	2438	2458	2589	2718	2600	2818	2573	2748	2841	2937	2823	2568	2478	2608	2704	3263	2646	2478	2543	2746	6971	2343	2636	2539	2490	2230	2518	2563	2372	2474	2486	2349	2289	2330	19177	2659	3181	20251	16818	2356	3203	2409	2797	2733	2674	3155	2552	2879	2581	2715	4206	2346	3179	2624	2805	2997	2567	2770	2745	2719	2625	3452	2618	2947	3500	3843	2520	2711	2768	2692	2655	2849	3372	3334	2716	2552	3095	3370	2618	2802	3593	2550	4064	3939	2984	3485	2856	2558
26	3118	3215	2675	3089	2509	2978	2594	2612	2449	2461	2614	2763	2629	2866	2594	2778	2870	2972	2826	2575	2481	2626	2732	3286	2687	2480	2563	2762	7056	2342	2640	2548	2514	2235	2525	2561	2390	2489	2495	2353	2291	2331	18878	2694	3212	20014	16866	2360	3204	2426	2815	2735	2707	3157	2557	2880	2605	2721	4206	2347	3268	2647	2822	3005	2575	2807	2746	2722	2624	3462	2621	2958	3601	3901	2539	2723	2772	2697	2654	2850	3384	3336	2715	2558	3129	3402	2645	2814	3588	2565	4142	3990	3005	3464	2849	2565
27	3117	3219	2664	3082	2506	2975	2587	2602	2452	2460	2611	2759	2630	2865	2585	2768	2860	2972	2829	2573	2478	2619	2722	3269	2696	2476	2562	2752	7096	2331	2641	2546	2513	2231	2510	2556	2387	2478	2494	2346	2280	2323	18668	2700	3198	18497	16722	2350	3201	2421	2806	2726	2715	3151	2545	2856	2593	2713	4177	2340	3288	2647	2816	2992	2569	2810	2744	2718	2620	3432	2616	2941	3622	3899	2533	2717	2764	2685	2649	2849	3371	3307	2693	2547	3123	3389	2639	2808	3556	2558	4121	3973	3008	3447	2841	2553
28	3118	3215	2664	3073	2505	2964	2585	2596	2451	2460	2608	2757	2619	2873	2587	2759	2849	2965	2816	2566	2470	2619	2717	3253	2693	2477	2564	2746	7098	2332	2638	2546	2507	2231	2515	2553	2386	2479	2494	2349	2281	2320	18530	2709	3192	17197	16673	2342	3196	2420	2793	2717	2719	3144	2544	2850	2589	2707	4160	2333	3284	2648	2808	2983	2570	2816	2734	2724	2611	3416	2607	2927	3612	3894	2533	2713	2756	2678	2634	2834	3356	3296	2688	2535	3109	3385	2635	2796	3536	2546	4087	3934	2997	3421	2826	2545
29	3110	3208	2658	3067	2504	2960	2580	2590	2449	2452	2600	2743	2614	2862	2580	2750	2844	2955	2812	2561	2465	2603	2704	3248	2687	2476	2554	2738	7155	2330	2628	2542	2498	2223	2505	2538	2377	2472	2494	2340	2274	2311	18370	2700	3176	15934	16619	2340	3183	2421	2798	2709	2721	3135	2536	2840	2578	2698	4135	2327	3277	2636	2795	2971	2560	2805	2717	2708	2596	3375	2595	2915	3598	3880	2535	2707	2749	2666	2626	2820	3341	3279	2682	2527	3090	3365	2626	2787	3505	2547	4062	3911	2983	3412	2820	2537
30	3097	3197	2649	3055	2493	2951	2567	2581	2446	2446	2593	2737	2603	2862	2574	2744	2838	2952	2794	2553	2463	2604	2703	3232	2685	2471	2549	2730	7232	2325	2633	2542	2495	2222	2502	2531	2377	2466	2493	2341	2271	2310	18251	2695	3163	14800	16630	2334	3170	2409	2780	2700	2715	3127	2526	2822	2567	2692	4142	2315	3262	2630	2788	2952	2551	2798	2713	2703	2585	3370	2593	2903	3567	3849	2526	2695	2731	2651	2620	2815	3320	3260	2667	2514	3083	3338	2613	2785	3476	2531	4025	3882	2976	3398	2811	2523
31	3085	3178	2641	3043	2495	2937	2565	2570	2444	2439	2584	2729	2603	2857	2561	2736	2825	2950	2788	2551	2447	2582	2687	3219	2677	2471	2548	2720	7382	2322	2632	2538	2484	2219	2495	2528	2373	2463	2490	2339	2265	2303	18096	2706	3149	13786	16673	2321	3164	2405	2771	2688	2727	3119	2518	2811	2563	2683	4122	2312	3261	2626	2769	2943	2547	2788	2706	2698	2582	3348	2585	2889	3547	3833	2521	2692	2716	2644	2605	2804	3310	3248	2663	2502	3066	3321	2609	2771	3445	2521	3997	3855	2962	3380	2792	2508
32	3081	3179	2639	3039	2496	2926	2553	2568	2445	2437	2580	2717	2596	2854	2553	2725	2815	2948	2785	2546	2444	2584	2688	3206	2673	2471	2544	2707	7597	2319	2633	2538	2473	2215	2492	2522	2370	2456	2486	2334	2266	2298	17898	2708	3138	12806	16675	2320	3160	2403	2766	2683	2740	3109	2512	2804	2551	2675	4107	2308	3252	2616	2762	2934	2541	2779	2695	2697	2576	3338	2582	2870	3523	3809	2518	2683	2706	2632	2603	2795	3297	3229	2657	2494	3048	3305	2598	2762	3418	2520	3967	3824	2953	3370	2790	2498
33	3071	3167	2639	3034	2492	2918	2555	2556	2441	2431	2579	2705	2590	2847	2546	2717	2816	2953	2772	2537	2440	2571	2680	3188	2666	2464	2540	2701	7840	2317	2637	2539	2470	2214	2491	2513	2370	2460	2485	2334	2261	2300	17790	2706	3132	11917	16742	2316	3153	2399	2763	2677	2755	3101	2503	2797	2545	2667	4100	2306	3238	2611	2757	2921	2547	2775	2689	2689	2566	3315	2581	2862	3509	3787	2511	2677	2693	2620	2593	2785	3281	3218	2646	2486	3039	3277	2585	2760	3383	2514	3928	3799	2937	3358	2777	2492
34	3060	3157	2628	3021	2484	2903	2546	2545	2446	2425	2568	2690	2581	2855	2537	2708	2800	2947	2757	2531	2440	2568	2672	3176	2663	2465	2535	2687	8126	2317	2632	2538	2461	2211	2485	2508	2364	2457	2486	2330	2256	2290	17665	2712	3119	11099	16741	2312	3147	2396	2753	2666	2778	3096	2500	2783	2534	2654	4083	2302	3230	2602	2740	2915	2534	2768	2682	2687	2545	3294	2572	2851	3478	3755	2513	2673	2680	2615	2581	2777	3268	3200	2639	2474	3019	3264	2580	2745	3354	2506	3894	3778	2922	3339	2769	2480
