temperature,200.00 uM  VD11-31-2 5 uM CAXIII,133.33 uM  VD11-31-2 5 uM CAXIII,88.89 uM  VD11-31-2 5 uM CAXIII,59.26 uM  VD11-31-2 5 uM CAXIII,39.51 uM  VD11-31-2 5 uM CAXIII,26.34 uM  VD11-31-2 5 uM CAXIII,17.56 uM  VD11-31-2 5 uM CAXIII,11.71 uM  VD11-31-2 5 uM CAXIII,7.80 uM  VD11-31-2 5 uM CAXIII,5.20 uM  VD11-31-2 5 uM CAXIII,0 uM  VD11-31-2 5 uM CAXIII,200.00 uM  VD12-13 5 uM CAXIII,133.33 uM  VD12-13 5 uM CAXIII,88.89 uM  VD12-13 5 uM CAXIII,59.26 uM  VD12-13 5 uM CAXIII,39.51 uM  VD12-13 5 uM CAXIII,26.34 uM  VD12-13 5 uM CAXIII,17.56 uM  VD12-13 5 uM CAXIII,11.71 uM  VD12-13 5 uM CAXIII,7.80 uM  VD12-13 5 uM CAXIII,5.20 uM  VD12-13 5 uM CAXIII,0 uM  VD12-13 5 uM CAXIII,200.00 uM  VD12-22 5 uM CAXIII,133.33 uM  VD12-22 5 uM CAXIII,88.89 uM  VD12-22 5 uM CAXIII,59.26 uM  VD12-22 5 uM CAXIII,39.51 uM  VD12-22 5 uM CAXIII,26.34 uM  VD12-22 5 uM CAXIII,17.56 uM  VD12-22 5 uM CAXIII,11.71 uM  VD12-22 5 uM CAXIII,7.80 uM  VD12-22 5 uM CAXIII,5.20 uM  VD12-22 5 uM CAXIII,0 uM  VD12-22 5 uM CAXIII
25.0,41.731,42.3,45.838,47.749,43.612,42.419,45.07,44.537,50.671,45.901,50.566,38.684,34.712,39.071,40.924,43.556,42.822,42.582,45.512,49.843,47.33,54.103,47.461,44.554,50.18,50.48,50.601,48.663,49.065,50.376,52.64,49.267,56.399
25.5,41.235,41.663,45.034,46.963,42.729,41.691,44.223,43.645,49.771,45.099,49.766,38.341,34.287,38.462,40.374,42.737,42.233,41.826,44.823,49.104,45.916,53.23,46.58,43.873,49.337,49.568,49.743,47.643,48.304,49.504,51.63,48.434,54.33
26.0,40.713,41.244,44.392,46.277,42.163,40.95,43.524,43.082,48.554,44.393,49.108,38.132,33.94,37.939,40.006,42.183,41.724,41.35,44.194,48.269,45.438,52.431,45.89,43.133,48.671,48.562,48.729,46.842,47.461,48.582,51.029,47.627,53.613
26.5,40.176,40.747,43.932,45.522,41.353,40.287,42.918,42.331,47.732,43.584,48.432,37.966,33.584,37.555,39.557,41.743,41.108,40.769,43.566,47.529,44.689,51.891,45.142,42.596,47.894,47.813,48.064,46.225,46.646,47.93,50.685,46.705,52.895
27.0,39.872,40.415,43.348,45.109,40.791,39.706,42.21,41.744,46.949,42.961,47.811,37.834,33.401,37.161,39.281,41.306,40.562,40.411,43.177,46.889,44.148,51.185,44.543,41.952,47.307,47.08,47.492,45.527,46.072,47.322,49.746,46.148,52.213
27.5,39.738,40.097,42.977,44.595,40.35,39.112,41.793,41.163,45.671,42.37,47.338,37.618,33.02,36.945,38.837,40.862,40.26,39.958,42.648,46.274,43.746,50.702,43.907,41.543,46.734,46.43,46.933,44.921,45.477,46.807,48.963,45.41,51.732
28.0,39.44,39.587,42.628,44.226,39.984,38.874,40.999,40.775,44.973,41.948,46.973,37.493,32.881,36.596,38.628,40.412,39.776,39.648,42.081,45.79,43.126,50.195,43.609,41.045,46.297,45.905,46.189,44.492,44.853,46.21,48.52,44.763,50.99
28.5,39.051,39.375,42.261,43.734,39.318,38.241,40.572,40.338,44.407,41.409,46.555,37.376,32.641,36.393,38.288,40.022,39.373,39.292,41.65,45.313,42.629,49.77,42.922,40.658,45.769,45.342,46.687,43.963,44.407,45.644,47.81,44.378,50.575
29.0,38.887,39.158,41.898,43.222,38.948,37.811,40.014,39.799,43.932,40.907,46.234,37.243,32.446,36.071,38.075,39.819,39.11,38.852,41.238,44.753,42.22,49.349,42.649,40.354,45.286,44.81,47.716,43.419,43.935,45.198,47.335,43.846,50.133
29.5,38.561,38.665,41.491,42.827,38.449,37.502,39.616,39.314,43.755,40.315,45.792,37.139,32.272,35.881,37.8,39.425,38.773,38.455,41.019,44.337,41.812,48.876,42.04,39.963,44.944,44.268,46.726,43.129,43.482,44.768,46.997,43.305,49.801
