protein,protein_concentration,ligand,ligand_concentration
CA I,4,GZ1702,1000
CA I,4,GZ1702,666.666666666667
CA I,4,GZ1702,444.444444444444
CA I,4,GZ1702,296.296296296296
CA I,4,GZ1702,197.530864197531
CA I,4,GZ1702,131.687242798354
CA I,4,GZ1702,87.7914951989026
CA I,4,GZ1702,58.5276634659351
CA I,4,GZ1702,39.0184423106234
CA I,4,GZ1702,26.0122948737489
CA I,4,GZ1702,17.3415299158326
CA I,4,GZ1702,0
CA II,4,GZ1702,1000
CA II,4,GZ1702,666.666666666667
CA II,4,GZ1702,444.444444444444
CA II,4,GZ1702,296.296296296296
CA II,4,GZ1702,197.530864197531
CA II,4,GZ1702,131.687242798354
CA II,4,GZ1702,87.7914951989026
CA II,4,GZ1702,58.5276634659351
CA II,4,GZ1702,39.0184423106234
CA II,4,GZ1702,26.0122948737489
CA II,4,GZ1702,17.3415299158326
CA II,4,GZ1702,0
CA IV,10,GZ1702,1000
CA IV,10,GZ1702,666.666666666667
CA IV,10,GZ1702,444.444444444444
CA IV,10,GZ1702,296.296296296296
CA IV,10,GZ1702,197.530864197531
CA IV,10,GZ1702,131.687242798354
CA IV,10,GZ1702,87.7914951989026
CA IV,10,GZ1702,58.5276634659351
CA IV,10,GZ1702,39.0184423106234
CA IV,10,GZ1702,26.0122948737489
CA IV,10,GZ1702,17.3415299158326
CA IV,10,GZ1702,0
CA VB,10,GZ1702,1000
CA VB,10,GZ1702,666.666666666667
CA VB,10,GZ1702,444.444444444444
CA VB,10,GZ1702,296.296296296296
CA VB,10,GZ1702,197.530864197531
CA VB,10,GZ1702,131.687242798354
CA VB,10,GZ1702,87.7914951989026
CA VB,10,GZ1702,58.5276634659351
CA VB,10,GZ1702,39.0184423106234
CA VB,10,GZ1702,26.0122948737489
CA VB,10,GZ1702,17.3415299158326
CA VB,10,GZ1702,0
CA XII,4,GZ1702,1000
CA XII,4,GZ1702,666.666666666667
CA XII,4,GZ1702,444.444444444444
CA XII,4,GZ1702,296.296296296296
CA XII,4,GZ1702,197.530864197531
CA XII,4,GZ1702,131.687242798354
CA XII,4,GZ1702,87.7914951989026
CA XII,4,GZ1702,58.5276634659351
CA XII,4,GZ1702,39.0184423106234
CA XII,4,GZ1702,26.0122948737489
CA XII,4,GZ1702,17.3415299158326
CA XII,4,GZ1702,0
CA XII,4,GZ1702,1000
CA XIII,4,GZ1702,666.666666666667
CA XIII,4,GZ1702,444.444444444444
CA XIII,4,GZ1702,296.296296296296
CA XIII,4,GZ1702,197.530864197531
CA XIII,4,GZ1702,131.687242798354
CA XIII,4,GZ1702,87.7914951989026
CA XIII,4,GZ1702,58.5276634659351
CA XIII,4,GZ1702,39.0184423106234
CA XIII,4,GZ1702,26.0122948737489
CA XIII,4,GZ1702,17.3415299158326
CA XIII,4,GZ1702,0
