Temperature, 200uM ICPD26 10uM Hsp90aN, 100uM ICPD26 10uM Hsp90aN, 50uM ICPD26 10uM Hsp90aN, 25uM ICPD26 10uM Hsp90aN, 12.5uM ICPD26 10uM Hsp90aN, 6.25uM ICPD26 10uM Hsp90aN, 3.125uM ICPD26 10uM Hsp90aN, 1.5625uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN
25,16.55331393,19.81213451,21.81862109,20.84972407,22.57785916,23.90238586,21.66819257,27.30880221,22.87797869,28.89976583,50.3806036
25.5,16.3915683,19.72304875,21.68119208,20.72162458,22.43261507,23.76707103,21.46377617,27.0863915,22.70272491,28.73993177,49.75171392
26,16.48645762,19.62086417,21.61484049,20.65117876,22.39326859,23.72594797,21.41819893,26.9813295,22.47442647,28.55913751,49.76664596
26.5,16.39287622,19.46110221,21.48153365,20.61090584,22.1731027,23.54538287,21.21047641,26.79697871,22.22558703,28.50561356,49.37385191
27,16.35865241,19.51903563,21.44088764,20.55564638,22.12314031,23.35404201,21.13984894,26.75679026,22.07577194,28.31886661,49.65062709
27.5,16.43244068,19.4805393,21.52122276,20.51717912,21.95641006,23.5117549,21.01589873,26.62495867,21.9651077,28.19311382,49.60870782
28,16.34382936,19.36230004,21.32788704,20.48584726,22.01637075,23.29910226,20.88311589,26.3401236,21.87424386,28.21077069,49.04989113
28.5,16.26153964,19.43212963,21.31949849,20.28725109,21.77791081,23.17725534,20.73629867,26.11757663,21.63627578,28.32274005,48.54830752
29,16.34491929,19.33623255,21.23728869,20.41833195,21.75234607,23.14717327,20.71684705,26.06099249,21.58639331,28.09796292,48.83222705
29.5,16.22054373,19.33048107,21.15053025,20.25706366,21.69823377,22.89639711,20.5723307,25.87747005,21.38460365,27.96250976,48.52586949
30,16.17587113,19.25583658,21.04142824,20.00528979,21.48658086,22.76208642,20.36481778,25.58060578,21.1326554,27.7824533,47.95946486
30.5,16.0124361,19.17639429,20.8838495,20.18005646,21.37656723,22.53299763,20.23842222,25.24274561,21.01879403,27.46001843,48.76560382
31,16.02889041,19.07764299,20.70923934,19.94343989,21.14013504,22.48733795,20.00414173,25.12385239,20.85562422,27.135729,48.45232436
31.5,16.02578775,19.02516649,20.61700945,19.86552987,20.9235523,22.32771293,19.82070649,24.77556522,20.58340327,27.0207777,48.09310778
32,15.86060883,18.85109738,20.41264755,19.65819791,20.78908217,22.09107289,19.677526,24.61530916,20.2203168,26.73489629,47.92640792
32.5,15.79308766,18.79539559,20.26296381,19.56379543,20.65343827,21.77450687,19.43791312,24.1836169,19.99324243,26.56911065,47.20778973
33,15.67508456,18.67575165,20.17277908,19.39950662,20.43650975,21.62315302,19.21982801,23.89003332,19.87705588,26.34063223,46.76792118
33.5,15.63908892,18.57356756,20.04791333,19.29241736,20.25537063,21.45971618,19.08059307,23.67520478,19.53568976,26.11568882,46.18183668
34,15.55371176,18.57033864,19.90444038,19.1486483,20.11561644,21.22824227,18.80445563,23.18824547,19.42432797,25.87119478,45.8379844
